== CamProbeV2RegionFull（OP-002 区域全 dump）==
time: 2026-09-06 00:26:15
件: C:\Users\21505\Code\nx-vibe-v2\samples\test.prt
打开 OK: test  camSession=True
== OP-002 存档: time=0.5151 length=928.8486
regions=36  质心数=36 面积数=36
== 逐区（质心 x,y,z | 面积 | z 分层注记）==
  区[0] x=70.9094 y=-30.0906 z=79.8056 | 面积=2.47
  区[1] x=79.0906 y=-30.0906 z=79.8056 | 面积=2.47
    -- z 变层: 79.8056 层区数=2 --
  区[2] x=70.9094 y=-30.0906 z=79.6111 | 面积=2.47
  区[3] x=79.0906 y=-30.0906 z=79.6111 | 面积=2.47
    -- z 变层: 79.6111 层区数=2 --
  区[4] x=70.9094 y=-30.0906 z=79.4167 | 面积=2.47
  区[5] x=79.0906 y=-30.0906 z=79.4167 | 面积=2.47
    -- z 变层: 79.4167 层区数=2 --
  区[6] x=70.9094 y=-30.0906 z=79.2222 | 面积=2.47
  区[7] x=79.0906 y=-30.0906 z=79.2222 | 面积=2.47
    -- z 变层: 79.2222 层区数=2 --
  区[8] x=70.9094 y=-30.0906 z=79.0278 | 面积=2.47
  区[9] x=79.0906 y=-30.0906 z=79.0278 | 面积=2.47
    -- z 变层: 79.0278 层区数=2 --
  区[10] x=70.9094 y=-30.0906 z=78.8333 | 面积=2.47
  区[11] x=79.0906 y=-30.0906 z=78.8333 | 面积=2.47
    -- z 变层: 78.8333 层区数=2 --
  区[12] x=70.9094 y=-30.0906 z=78.6389 | 面积=2.47
  区[13] x=79.0906 y=-30.0906 z=78.6389 | 面积=2.47
    -- z 变层: 78.6389 层区数=2 --
  区[14] x=70.9094 y=-30.0906 z=78.4444 | 面积=2.47
  区[15] x=79.0906 y=-30.0906 z=78.4444 | 面积=2.47
    -- z 变层: 78.4444 层区数=2 --
  区[16] x=70.9094 y=-30.0906 z=78.25 | 面积=2.47
  区[17] x=79.0906 y=-30.0906 z=78.25 | 面积=2.47
    -- z 变层: 78.25 层区数=2 --
  区[18] x=70.9094 y=-30.0906 z=78.0556 | 面积=2.47
  区[19] x=79.0906 y=-30.0906 z=78.0556 | 面积=2.47
    -- z 变层: 78.0556 层区数=2 --
  区[20] x=70.9094 y=-30.0906 z=77.8611 | 面积=2.47
  区[21] x=79.0906 y=-30.0906 z=77.8611 | 面积=2.47
    -- z 变层: 77.8611 层区数=2 --
  区[22] x=70.9094 y=-30.0906 z=77.6667 | 面积=2.47
  区[23] x=79.0906 y=-30.0906 z=77.6667 | 面积=2.47
    -- z 变层: 77.6667 层区数=2 --
  区[24] x=70.9094 y=-30.0906 z=77.4722 | 面积=2.47
  区[25] x=79.0906 y=-30.0906 z=77.4722 | 面积=2.47
    -- z 变层: 77.4722 层区数=2 --
  区[26] x=70.9094 y=-30.0906 z=77.2778 | 面积=2.47
  区[27] x=79.0906 y=-30.0906 z=77.2778 | 面积=2.47
    -- z 变层: 77.2778 层区数=2 --
  区[28] x=70.9094 y=-30.0906 z=77.0833 | 面积=2.47
  区[29] x=79.0906 y=-30.0906 z=77.0833 | 面积=2.47
    -- z 变层: 77.0833 层区数=2 --
  区[30] x=70.9094 y=-30.0906 z=76.8889 | 面积=2.47
  区[31] x=79.0906 y=-30.0906 z=76.8889 | 面积=2.47
    -- z 变层: 76.8889 层区数=2 --
  区[32] x=70.9094 y=-30.0906 z=76.6944 | 面积=2.47
  区[33] x=79.0906 y=-30.0906 z=76.6944 | 面积=2.47
    -- z 变层: 76.6944 层区数=2 --
  区[34] x=70.9094 y=-30.0906 z=76.5 | 面积=2.47
  区[35] x=79.0906 y=-30.0906 z=76.5 | 面积=2.47
    -- 末层 z=76.5 层区数=2 --
== 汇总: z 跨度 [76.5, 79.8056] 面积 [min=2.47 max=2.47 sum=88.92] ==
== 结束（只读未 Save）==
== 结束 ==
