== CamProbeV2RegionFull（OP-002 区域全 dump）==
time: 2026-09-06 00:26:33
件: C:\Users\21505\Code\nx-vibe-v2\samples\v2.rebuilt-20260906-000810.prt
打开 OK: v2.rebuilt-20260906-000810  camSession=True
== OP-002 存档: time=28.3736 length=39849.6843
regions=118  质心数=118 面积数=118
== 逐区（质心 x,y,z | 面积 | z 分层注记）==
  区[0] x=74.9997 y=38.9777 z=99.8008 | 面积=1410.68
    -- z 变层: 99.8008 层区数=1 --
  区[1] x=74.9997 y=38.9777 z=99.6017 | 面积=1410.68
    -- z 变层: 99.6017 层区数=1 --
  区[2] x=74.9997 y=38.9777 z=99.4025 | 面积=1410.68
    -- z 变层: 99.4025 层区数=1 --
  区[3] x=74.9997 y=38.9777 z=99.2034 | 面积=1410.68
    -- z 变层: 99.2034 层区数=1 --
  区[4] x=74.9997 y=38.9777 z=99.0042 | 面积=1410.68
    -- z 变层: 99.0042 层区数=1 --
  区[5] x=74.9997 y=38.9777 z=98.8051 | 面积=1410.68
    -- z 变层: 98.8051 层区数=1 --
  区[6] x=74.9997 y=38.9777 z=98.6059 | 面积=1410.68
    -- z 变层: 98.6059 层区数=1 --
  区[7] x=74.9997 y=38.9777 z=98.4068 | 面积=1410.68
    -- z 变层: 98.4068 层区数=1 --
  区[8] x=74.9997 y=38.9777 z=98.2076 | 面积=1410.68
    -- z 变层: 98.2076 层区数=1 --
  区[9] x=74.9997 y=38.9777 z=98.0085 | 面积=1410.68
    -- z 变层: 98.0085 层区数=1 --
  区[10] x=74.9997 y=38.9777 z=97.8093 | 面积=1410.68
    -- z 变层: 97.8093 层区数=1 --
  区[11] x=74.9997 y=38.9777 z=97.6102 | 面积=1410.68
    -- z 变层: 97.6102 层区数=1 --
  区[12] x=74.9997 y=38.9777 z=97.411 | 面积=1410.68
    -- z 变层: 97.411 层区数=1 --
  区[13] x=74.9997 y=38.9777 z=97.2119 | 面积=1410.68
    -- z 变层: 97.2119 层区数=1 --
  区[14] x=74.9997 y=38.9777 z=97.0127 | 面积=1410.68
    -- z 变层: 97.0127 层区数=1 --
  区[15] x=74.9997 y=38.9777 z=96.8136 | 面积=1410.68
    -- z 变层: 96.8136 层区数=1 --
  区[16] x=74.9997 y=38.9777 z=96.6144 | 面积=1410.68
    -- z 变层: 96.6144 层区数=1 --
  区[17] x=74.9997 y=38.9777 z=96.4153 | 面积=1410.68
    -- z 变层: 96.4153 层区数=1 --
  区[18] x=74.9997 y=38.9777 z=96.2161 | 面积=1410.68
    -- z 变层: 96.2161 层区数=1 --
  区[19] x=74.9997 y=38.9777 z=96.0169 | 面积=1410.68
    -- z 变层: 96.0169 层区数=1 --
  区[20] x=74.9997 y=38.9777 z=95.8178 | 面积=1410.68
    -- z 变层: 95.8178 层区数=1 --
  区[21] x=74.9997 y=38.9777 z=95.6186 | 面积=1410.68
    -- z 变层: 95.6186 层区数=1 --
  区[22] x=74.9997 y=38.9777 z=95.4195 | 面积=1410.68
    -- z 变层: 95.4195 层区数=1 --
  区[23] x=74.9997 y=38.9777 z=95.2203 | 面积=1410.68
    -- z 变层: 95.2203 层区数=1 --
  区[24] x=74.9997 y=38.9777 z=95.0212 | 面积=1410.68
    -- z 变层: 95.0212 层区数=1 --
  区[25] x=74.9997 y=38.9777 z=94.822 | 面积=1410.68
    -- z 变层: 94.822 层区数=1 --
  区[26] x=74.9997 y=38.9777 z=94.6229 | 面积=1410.68
    -- z 变层: 94.6229 层区数=1 --
  区[27] x=74.9997 y=38.9777 z=94.4237 | 面积=1410.68
    -- z 变层: 94.4237 层区数=1 --
  区[28] x=74.9997 y=38.9777 z=94.2246 | 面积=1410.68
    -- z 变层: 94.2246 层区数=1 --
  区[29] x=74.9997 y=38.9777 z=94.0254 | 面积=1410.68
    -- z 变层: 94.0254 层区数=1 --
  区[30] x=74.9997 y=38.9777 z=93.8263 | 面积=1410.68
    -- z 变层: 93.8263 层区数=1 --
  区[31] x=74.9997 y=38.9777 z=93.6271 | 面积=1410.68
    -- z 变层: 93.6271 层区数=1 --
  区[32] x=74.9997 y=38.9777 z=93.428 | 面积=1410.68
    -- z 变层: 93.428 层区数=1 --
  区[33] x=74.9997 y=38.9777 z=93.2288 | 面积=1410.68
    -- z 变层: 93.2288 层区数=1 --
  区[34] x=74.9997 y=38.9777 z=93.0297 | 面积=1410.68
    -- z 变层: 93.0297 层区数=1 --
  区[35] x=74.9997 y=38.9777 z=92.8305 | 面积=1410.68
    -- z 变层: 92.8305 层区数=1 --
  区[36] x=74.9997 y=38.9777 z=92.6314 | 面积=1410.68
    -- z 变层: 92.6314 层区数=1 --
  区[37] x=74.9997 y=38.9777 z=92.4322 | 面积=1410.68
    -- z 变层: 92.4322 层区数=1 --
  区[38] x=74.9997 y=38.9777 z=92.2331 | 面积=1410.68
    -- z 变层: 92.2331 层区数=1 --
  区[39] x=74.9997 y=38.9777 z=92.0339 | 面积=1410.68
    -- z 变层: 92.0339 层区数=1 --
  区[40] x=74.9997 y=38.9777 z=91.8347 | 面积=1410.68
    -- z 变层: 91.8347 层区数=1 --
  区[41] x=74.9997 y=38.9777 z=91.6356 | 面积=1410.68
    -- z 变层: 91.6356 层区数=1 --
  区[42] x=74.9997 y=38.9777 z=91.4364 | 面积=1410.68
    -- z 变层: 91.4364 层区数=1 --
  区[43] x=74.9997 y=38.9777 z=91.2373 | 面积=1410.68
    -- z 变层: 91.2373 层区数=1 --
  区[44] x=74.9997 y=38.9777 z=91.0381 | 面积=1410.68
    -- z 变层: 91.0381 层区数=1 --
  区[45] x=74.9997 y=38.9777 z=90.839 | 面积=1410.68
    -- z 变层: 90.839 层区数=1 --
  区[46] x=74.9997 y=38.9777 z=90.6398 | 面积=1410.68
    -- z 变层: 90.6398 层区数=1 --
  区[47] x=74.9997 y=38.9777 z=90.4407 | 面积=1410.68
    -- z 变层: 90.4407 层区数=1 --
